ds,y
2016-03-13,75
2016-03-20,61
2016-03-27,59
2016-04-03,61
2016-04-10,71
2016-04-17,62
2016-04-24,77
2016-05-01,58
2016-05-08,78
2016-05-15,50
2016-05-22,66
2016-05-29,57
2016-06-05,56
2016-06-12,46
2016-06-19,62
2016-06-26,71
2016-07-03,72
2016-07-10,74
2016-07-17,100
2016-07-24,62
2016-07-31,90
2016-08-07,69
2016-08-14,67
2016-08-21,87
2016-08-28,55
2016-09-04,60
2016-09-11,59
2016-09-18,59
2016-09-25,66
2016-10-02,51
2016-10-09,66
2016-10-16,61
2016-10-23,69
2016-10-30,74
2016-11-06,65
2016-11-13,74
2016-11-20,77
2016-11-27,68
2016-12-04,46
2016-12-11,56
2016-12-18,60
2016-12-25,31
2017-01-01,41
2017-01-08,50
2017-01-15,60
2017-01-22,70
2017-01-29,77
2017-02-05,65
2017-02-12,74
2017-02-19,66
2017-02-26,49
2017-03-05,65
2017-03-12,71
2017-03-19,66
2017-03-26,57
2017-04-02,67
2017-04-09,59
2017-04-16,53
2017-04-23,48
2017-04-30,68
2017-05-07,55
2017-05-14,49
2017-05-21,68
2017-05-28,56
2017-06-04,63
2017-06-11,64
2017-06-18,51
2017-06-25,50
2017-07-02,59
2017-07-09,86
2017-07-16,64
2017-07-23,61
2017-07-30,61
2017-08-06,60
2017-08-13,65
2017-08-20,57
2017-08-27,45
2017-09-03,63
2017-09-10,64
2017-09-17,61
2017-09-24,64
2017-10-01,75
2017-10-08,59
2017-10-15,48
2017-10-22,48
2017-10-29,53
2017-11-05,43
2017-11-12,54
2017-11-19,60
2017-11-26,66
2017-12-03,63
2017-12-10,60
2017-12-17,47
2017-12-24,27
2017-12-31,37
2018-01-07,50
2018-01-14,37
2018-01-21,55
2018-01-28,45
2018-02-04,54
2018-02-11,65
2018-02-18,58
2018-02-25,42
2018-03-04,49
2018-03-11,66
2018-03-18,46
2018-03-25,62
2018-04-01,46
2018-04-08,61
2018-04-15,66
2018-04-22,48
2018-04-29,41
2018-05-06,39
2018-05-13,70
2018-05-20,58
2018-05-27,59
2018-06-03,56
2018-06-10,42
2018-06-17,32
2018-06-24,40
2018-07-01,56
2018-07-08,55
2018-07-15,45
2018-07-22,44
2018-07-29,60
2018-08-05,50
2018-08-12,45
2018-08-19,54
2018-08-26,49
2018-09-02,46
2018-09-09,40
2018-09-16,60
2018-09-23,61
2018-09-30,45
2018-10-07,55
2018-10-14,47
2018-10-21,46
2018-10-28,51
2018-11-04,59
2018-11-11,39
2018-11-18,47
2018-11-25,55
2018-12-02,43
2018-12-09,43
2018-12-16,43
2018-12-23,23
2018-12-30,25
2019-01-06,49
2019-01-13,54
2019-01-20,57
2019-01-27,56
2019-02-03,42
2019-02-10,47
2019-02-17,50
2019-02-24,55
2019-03-03,35
2019-03-10,59
2019-03-17,63
2019-03-24,43
2019-03-31,46
2019-04-07,55
2019-04-14,38
2019-04-21,36
2019-04-28,48
2019-05-05,36
2019-05-12,49
2019-05-19,47
2019-05-26,50
2019-06-02,54
2019-06-09,58
2019-06-16,57
2019-06-23,48
2019-06-30,68
2019-07-07,57
2019-07-14,44
2019-07-21,61
2019-07-28,36
2019-08-04,46
2019-08-11,50
2019-08-18,34
2019-08-25,31
2019-09-01,56
2019-09-08,45
2019-09-15,48
2019-09-22,49
2019-09-29,58
2019-10-06,58
2019-10-13,46
2019-10-20,42
2019-10-27,34
2019-11-03,63
2019-11-10,49
2019-11-17,67
2019-11-24,46
2019-12-01,43
2019-12-08,35
2019-12-15,39
2019-12-22,31
2019-12-29,36
2020-01-05,57
2020-01-12,36
2020-01-19,47
2020-01-26,47
2020-02-02,46
2020-02-09,49
2020-02-16,50
2020-02-23,44
2020-03-01,44
2020-03-08,54
2020-03-15,33
2020-03-22,32
2020-03-29,28
2020-04-05,24
2020-04-12,29
2020-04-19,36
2020-04-26,37
2020-05-03,25
2020-05-10,39
2020-05-17,27
2020-05-24,34
2020-05-31,21
2020-06-07,40
2020-06-14,30
2020-06-21,27
2020-06-28,42
2020-07-05,44
2020-07-12,36
2020-07-19,39
2020-07-26,45
2020-08-02,40
2020-08-09,41
2020-08-16,45
2020-08-23,32
2020-08-30,34
2020-09-06,43
2020-09-13,44
2020-09-20,63
2020-09-27,40
2020-10-04,33
2020-10-11,43
2020-10-18,35
2020-10-25,36
2020-11-01,40
2020-11-08,47
2020-11-15,28
2020-11-22,35
2020-11-29,35
2020-12-06,37
2020-12-13,31
2020-12-20,23
2020-12-27,19
2021-01-03,39
2021-01-10,33
2021-01-17,34
2021-01-24,40
2021-01-31,36
2021-02-07,36
2021-02-14,47
2021-02-21,43
2021-02-28,26
2021-03-07,17
